outcome,term,coef,std_err,z,p_value,ci_lower,ci_upper,logLik,group_var,n_obs,n_groups
eng,Intercept,3.56,0.205,17.33,0.0,3.157,3.962,-51.814,0.466,57,19
eng,C(role)[T.ask],-0.021,0.133,-0.16,0.873,-0.282,0.239,-51.814,0.466,57,19
eng,C(prototype)[T.B],0.172,0.129,1.338,0.181,-0.08,0.424,-51.814,0.466,57,19
eng,C(prototype)[T.C],0.277,0.129,2.156,0.031,0.025,0.529,-51.814,0.466,57,19
trust,Intercept,4.189,0.221,18.932,0.0,3.755,4.622,-57.604,0.483,57,19
trust,C(role)[T.ask],0.101,0.153,0.661,0.508,-0.198,0.401,-57.604,0.483,57,19
trust,C(prototype)[T.B],-0.116,0.149,-0.775,0.438,-0.408,0.177,-57.604,0.483,57,19
trust,C(prototype)[T.C],-0.195,0.149,-1.304,0.192,-0.487,0.098,-57.604,0.483,57,19
open,Intercept,3.938,0.211,18.628,0.0,3.524,4.352,-53.458,0.491,57,19
open,C(role)[T.ask],0.156,0.137,1.134,0.257,-0.113,0.425,-53.458,0.491,57,19
open,C(prototype)[T.B],-0.002,0.133,-0.013,0.989,-0.262,0.259,-53.458,0.491,57,19
open,C(prototype)[T.C],-0.002,0.133,-0.013,0.989,-0.262,0.259,-53.458,0.491,57,19
