outcome,term,coef,std_err,z,p_value,ci_lower,ci_upper,logLik,group_var,n_obs,n_groups
eng1,C(prototype)[T.B],0.058,0.199,0.291,0.771,-0.332,0.448,-68.509,0.478,57,19
eng1,C(prototype)[T.C],0.216,0.199,1.084,0.279,-0.175,0.606,-68.509,0.478,57,19
eng1,C(role)[T.ask],0.033,0.199,0.167,0.868,-0.358,0.424,-68.509,0.478,57,19
eng1,Intercept,3.818,0.257,14.848,0.0,3.314,4.322,-68.509,0.478,57,19
eng2,C(prototype)[T.B],0.521,0.182,2.863,0.004,0.164,0.878,-68.048,0.712,57,19
eng2,C(prototype)[T.C],0.574,0.182,3.152,0.002,0.217,0.93,-68.048,0.712,57,19
eng2,C(role)[T.ask],-0.034,0.186,-0.185,0.854,-0.398,0.33,-68.048,0.712,57,19
eng2,Intercept,3.341,0.269,12.425,0.0,2.814,3.868,-68.048,0.712,57,19
eng3,C(prototype)[T.B],-0.058,0.186,-0.311,0.756,-0.422,0.306,-70.832,0.921,57,19
eng3,C(prototype)[T.C],0.048,0.186,0.256,0.798,-0.316,0.412,-70.832,0.921,57,19
eng3,C(role)[T.ask],-0.032,0.193,-0.165,0.869,-0.41,0.347,-70.832,0.921,57,19
eng3,Intercept,3.497,0.292,11.958,0.0,2.924,4.07,-70.832,0.921,57,19
open1,C(prototype)[T.B],0.144,0.166,0.865,0.387,-0.182,0.47,-62.173,0.514,57,19
open1,C(prototype)[T.C],0.039,0.166,0.233,0.816,-0.288,0.365,-62.173,0.514,57,19
open1,C(role)[T.ask],0.245,0.171,1.434,0.152,-0.09,0.58,-62.173,0.514,57,19
open1,Intercept,3.819,0.238,16.081,0.0,3.354,4.285,-62.173,0.514,57,19
open2,C(prototype)[T.B],-0.135,0.251,-0.538,0.591,-0.626,0.356,-76.681,0.412,57,19
open2,C(prototype)[T.C],-0.029,0.251,-0.118,0.906,-0.521,0.462,-76.681,0.412,57,19
open2,C(role)[T.ask],0.147,0.246,0.597,0.551,-0.335,0.628,-76.681,0.412,57,19
open2,Intercept,3.997,0.292,13.704,0.0,3.426,4.569,-76.681,0.412,57,19
trust1,C(prototype)[T.B],0.018,0.167,0.107,0.915,-0.308,0.344,-59.412,0.353,57,19
trust1,C(prototype)[T.C],-0.14,0.167,-0.841,0.4,-0.466,0.186,-59.412,0.353,57,19
trust1,C(role)[T.ask],0.113,0.168,0.674,0.5,-0.216,0.442,-59.412,0.353,57,19
trust1,Intercept,4.18,0.218,19.201,0.0,3.753,4.606,-59.412,0.353,57,19
trust2,C(prototype)[T.B],-0.247,0.168,-1.474,0.14,-0.576,0.081,-64.751,0.69,57,19
trust2,C(prototype)[T.C],-0.247,0.168,-1.474,0.14,-0.576,0.081,-64.751,0.69,57,19
trust2,C(role)[T.ask],0.102,0.172,0.591,0.554,-0.236,0.439,-64.751,0.69,57,19
trust2,Intercept,4.188,0.257,16.289,0.0,3.684,4.692,-64.751,0.69,57,19
