Advantages of AI-Debates (open Question)
,DE,EN,%-Anteil,
,,,,
"Selber Aktiv mitmachen (Fragen stellen, Debattieren üben)",42,5,48.9583333333333,
Potenziell stärkere Argumente (durch Internet),15,3,18.75,
Nicht beeinflusst durch Person/ Aussehen,2,0,2.08333333333333,
"Besseres Debattieren (fliessender, mehr aufeinander eingehen)/ Bessere Übersicht über Thema etc",,,0,
"Weniger Emotional, sachlicher",7,0,7.29166666666667,
"Individualisierung (Zeitlich unabhängig, schwierigkeit)",6,0,6.25,
Weniger Erwartungen an Chatbots wie an Menschen,1,0,1.04166666666667,
Nicht Frage beantwortet,15,,15.625,
,,,,100
Total,88,8,96,
